threshold,falsePositives,truePositives,precision,recall,falsePositiveRate,f1,accuracy,falseOmissionRate,feature,group,falseNegatives,trueNegatives,dataset
0.109,5634.0,7875.0,0.5829447035309794,0.794010889292196,0.2478444483547422,0.6723011909335382,0.7648698315467075,0.106734235410898,sex_Female,0.0,2043.0,17098.0,Train
0.11,5604.0,7862.0,0.5838407841972375,0.7927001411574914,0.2465247228576456,0.6724255901471091,0.7653905053598775,0.1071726438698915,sex_Female,0.0,2056.0,17128.0,Train
0.111,5584.0,7851.0,0.5843691849646446,0.7915910465819722,0.2456449058595812,0.6723761401104783,0.765666156202144,0.1075722092115534,sex_Female,0.0,2067.0,17148.0,Train
0.112,5558.0,7844.0,0.5852857782420534,0.7908852591248235,0.2445011437620974,0.6727272727272727,0.7662480857580398,0.1077514546965918,sex_Female,0.0,2074.0,17174.0,Train
0.113,5531.0,7822.0,0.5857859657005916,0.788667069973785,0.2433133908147105,0.6722530187787374,0.7664012251148545,0.1086179198839197,sex_Female,0.0,2096.0,17201.0,Train
0.114,5496.0,7801.0,0.5866736857937881,0.7865497076023392,0.2417737110680978,0.6720654749084644,0.7668300153139357,0.1093887252622332,sex_Female,0.0,2117.0,17236.0,Train
0.115,5457.0,7783.0,0.5878398791540785,0.7847348255696713,0.2400580679218722,0.6721651265221522,0.7674732006125574,0.1099948480164863,sex_Female,0.0,2135.0,17275.0,Train
0.116,5426.0,7760.0,0.5885029576823904,0.7824158096390401,0.2386943515748724,0.6717451523545706,0.767718223583461,0.1108713522400328,sex_Female,0.0,2158.0,17306.0,Train
0.117,5380.0,7738.0,0.5898765055648727,0.7801976204880016,0.2366707724793243,0.6718180239624936,0.7684532924961716,0.1116117141101781,sex_Female,0.0,2180.0,17352.0,Train
0.118,5358.0,7730.0,0.5906173594132029,0.7793910062512603,0.2357029737814534,0.6719986090585065,0.7688820826952527,0.1118495041406809,sex_Female,0.0,2188.0,17374.0,Train
0.119,5337.0,7718.0,0.5911911145155113,0.7781810848961485,0.2347791659334858,0.6719192095068123,0.7691577335375192,0.1122735391681551,sex_Female,0.0,2200.0,17395.0,Train
0.12,5318.0,7711.0,0.5918336019648477,0.7774752974389998,0.2339433397853246,0.6720704231489955,0.7695252679938744,0.1124815248967942,sex_Female,0.0,2207.0,17414.0,Train
0.121,5301.0,7703.0,0.5923561980928945,0.7766686832022586,0.2331954953369699,0.6721054009248757,0.7698009188361409,0.1127455970681054,sex_Female,0.0,2215.0,17431.0,Train
0.122,5284.0,7700.0,0.593037584719655,0.7763662028634806,0.2324476508886151,0.6724303554274735,0.770229709035222,0.1127834841859046,sex_Female,0.0,2218.0,17448.0,Train
0.123,5273.0,7696.0,0.5934150666975094,0.7759628957451099,0.2319637515396797,0.6725215187661117,0.7704441041347626,0.1129007672374371,sex_Female,0.0,2222.0,17459.0,Train
0.124,5260.0,7692.0,0.5938851142680667,0.7755595886267392,0.2313918704909378,0.6726716222125054,0.770719754977029,0.1130063965884861,sex_Female,0.0,2226.0,17472.0,Train
0.125,5247.0,7687.0,0.594325034792021,0.775055454728776,0.230819989442196,0.672763871871171,0.7709647779479326,0.1131568269425847,sex_Female,0.0,2231.0,17485.0,Train
0.126,5235.0,7682.0,0.5947201362545482,0.7745513208308127,0.2302920992433574,0.6728268009634333,0.7711791730474732,0.1133127248771094,sex_Female,0.0,2236.0,17497.0,Train
0.127,5224.0,7678.0,0.5951015346457913,0.774148013712442,0.2298081998944219,0.6729184925503943,0.7713935681470138,0.1134292080210654,sex_Female,0.0,2240.0,17508.0,Train
0.128,5211.0,7672.0,0.5955134673600869,0.773543053034886,0.2292363188456801,0.6729529406604974,0.7716079632465543,0.1136237162948348,sex_Female,0.0,2246.0,17521.0,Train
0.129,5201.0,7668.0,0.5958504934338332,0.7731397459165155,0.2287964103466479,0.6730153157502086,0.771791730474732,0.113745513371417,sex_Female,0.0,2250.0,17531.0,Train
0.13,5191.0,7666.0,0.5962510694563273,0.7729380923573301,0.2283565018476157,0.6731942919868277,0.7720367534456355,0.1137775981407568,sex_Female,0.0,2252.0,17541.0,Train
0.131,5179.0,7662.0,0.5966825013628222,0.7725347852389595,0.227828611648777,0.6733160507930928,0.7722817764165391,0.1138876268362865,sex_Female,0.0,2256.0,17553.0,Train
0.132,5169.0,7660.0,0.5970847299088003,0.7723331316797741,0.2273887031497448,0.6734954059876027,0.7725267993874426,0.1139195802431764,sex_Female,0.0,2258.0,17563.0,Train
0.133,5156.0,7656.0,0.5975647830159225,0.7719298245614035,0.2268168221010029,0.6736471623405191,0.7728024502297091,0.1140235910878112,sex_Female,0.0,2262.0,17576.0,Train
0.134,5147.0,7656.0,0.5979848473014138,0.7719298245614035,0.226420904451874,0.6739140002640729,0.7730781010719755,0.1139718849196352,sex_Female,0.0,2262.0,17585.0,Train
0.135,5131.0,7650.0,0.5985447148110477,0.7713248638838476,0.2257170508534225,0.6740385038988502,0.7733843797856049,0.1141476672202929,sex_Female,0.0,2268.0,17601.0,Train
0.136,5121.0,7645.0,0.5988563371455429,0.7708207299858842,0.2252771423543902,0.6740433785928408,0.7735375191424196,0.114313015489841,sex_Female,0.0,2273.0,17611.0,Train
0.137,5111.0,7636.0,0.5990429120577391,0.7699132889695504,0.2248372338553581,0.6738142510478713,0.7735681470137825,0.1146560819976887,sex_Female,0.0,2282.0,17621.0,Train
0.138,5102.0,7633.0,0.5993718099725167,0.7696108086307724,0.2244413162062291,0.673906325872953,0.7737519142419602,0.1147376349485312,sex_Female,0.0,2285.0,17630.0,Train
0.139,5094.0,7627.0,0.5995597830359248,0.7690058479532164,0.2240893894070033,0.6737930120588366,0.7738131699846861,0.1149581012594711,sex_Female,0.0,2291.0,17638.0,Train
0.14,5085.0,7625.0,0.5999213217938631,0.768804194394031,0.2236934717578743,0.673943786459254,0.7740275650842267,0.1149949849548646,sex_Female,0.0,2293.0,17647.0,Train
0.141,5070.0,7619.0,0.6004413271337379,0.7681992337164751,0.223033609009326,0.6740390144645464,0.7743032159264931,0.1151745904513801,sex_Female,0.0,2299.0,17662.0,Train
0.142,5055.0,7616.0,0.6010575329492542,0.7678967533776971,0.2223737462607777,0.6743105051131082,0.7746707503828484,0.1152209820311327,sex_Female,0.0,2302.0,17677.0,Train
0.143,5040.0,7612.0,0.6016440088523554,0.7674934462593265,0.2217138835122294,0.6745237040319007,0.7750076569678407,0.1153115311531153,sex_Female,0.0,2306.0,17692.0,Train
0.144,5028.0,7607.0,0.6020577760189949,0.7669893123613631,0.2211859933133908,0.6745887465082251,0.7752220520673813,0.1154634024481638,sex_Female,0.0,2311.0,17704.0,Train
0.145,5015.0,7599.0,0.6024258760107817,0.7661826981246219,0.2206141122646489,0.6745073672998402,0.775375191424196,0.1157416650029946,sex_Female,0.0,2319.0,17717.0,Train
0.146,4993.0,7592.0,0.6032578466428288,0.7654769106674733,0.2196463135667781,0.6747544771808204,0.7758346094946401,0.1159232494393222,sex_Female,0.0,2326.0,17739.0,Train
0.147,4986.0,7589.0,0.6034990059642147,0.7651744303286953,0.2193383776174555,0.6747877117325389,0.7759571209800918,0.1160149439601494,sex_Female,0.0,2329.0,17746.0,Train
0.148,4976.0,7585.0,0.6038531964015604,0.7647711232103247,0.2188984691184233,0.6748520841674452,0.7761408882082695,0.1161332072278361,sex_Female,0.0,2333.0,17756.0,Train
0.149,4953.0,7573.0,0.6045824684655916,0.7635612018552127,0.2178866795706493,0.674835145250401,0.7764777947932618,0.1165275293182269,sex_Female,0.0,2345.0,17779.0,Train
0.15,4940.0,7567.0,0.6050211881346446,0.7629562411776568,0.2173147985219074,0.6748717948717948,0.7766921898928024,0.1167154842873454,sex_Female,0.0,2351.0,17792.0,Train
0.151,4918.0,7558.0,0.6058031420327028,0.7620488001613228,0.2163469998240366,0.6750022327409128,0.7770903522205207,0.1169822543868345,sex_Female,0.0,2360.0,17814.0,Train
0.152,4899.0,7542.0,0.6062213648420545,0.7604355716878403,0.2155111736758754,0.6746276667113913,0.7771822358346095,0.1175713790885249,sex_Female,0.0,2376.0,17833.0,Train
